EMPRESA,CODIGO,SETOR,PAIS DE ORIGEM
NEWS CORP,N1WS34,Comunicaá?o,EUA
NEWS CORPORATION,N1WS35,Publicidade,EUA
NEXTERA ENER,NEXT34,Energiaˇ,EUA
NICE LTD,N1IC34,Comunicaá?o,Israel
NIELSEN HOLDINGS PLC,N1LS34,Serviáos de informaá?o,EUA
NISOURCE INC,N1IS34,Energia,EUA
NOKIA CORP,NOKI34,Tecnologia,FinlÉndia
NOMURA HO,NMRH34,Instituiá?o Financeira,Jap?o
NORDSTROM IN,J1WN34,Roupas e Caláados,EUA
NORFOLK SOUTHERN CORP,N1SC34,Ferrovi†rio,EUA
NORTHERN TRUST CORP,N1TR34,Serviáos Financeirosˇ,EUA
NORTHROP GRU,NOCG34,Industrial,EUA
NORWEGIAN CR,N1CL34,Serviáos ? Viagens,EUA
NOVARTIS AG,N1VS34,Farmacàutico,Switzerland
NOVO NORDISK A/S,N1VO34,Farmacàutico,Denmark
NRG ENERGY I,N1RG34,Energia,EUA
NUCOR CORP,N1UE34,Aáo e Metalurgia,EUA
NVIDIA CORP,NVDC34,Tecnologia,EUA
NVR INC,N1VR34,Construá?o,EUA
NXP SEMICOND,N1XP34,Semicondutores,EUA
OCCIDENT PTR,OXYP34,Energiaˇ,EUA
OKTA INC,O1KT34,Comunicaá?o,EUA
